        Rank         Score    Variable
      503.00     2.77790E-01  X794
      504.00     2.76623E-01  X263
      505.00     2.75649E-01  X122
      506.00     2.75354E-01  X85
      507.00     2.73799E-01  X767
      508.00     2.73027E-01  X756
      509.00     2.72716E-01  X424
      510.00     2.72234E-01  X458
      511.00     2.72202E-01  X945
      512.00     2.71645E-01  X555
      513.00     2.70836E-01  X386
      514.00     2.68166E-01  X90
      515.00     2.68099E-01  X740
      516.00     2.67947E-01  X218
      517.00     2.67908E-01  X211
      518.00     2.67444E-01  X837
      519.00     2.66929E-01  X383
      520.00     2.66364E-01  X620
      521.00     2.65305E-01  X649
      522.00     2.64978E-01  X95
      523.00     2.64027E-01  X183
      524.00     2.63924E-01  X692
      525.00     2.63805E-01  X121
      526.00     2.63596E-01  X11
      527.00     2.63367E-01  X923
      528.00     2.63183E-01  X12
      529.00     2.63130E-01  X943
      530.00     2.62629E-01  X611
      531.00     2.62210E-01  X505
      532.00     2.61947E-01  X596
      533.00     2.61160E-01  X703
      534.00     2.61147E-01  X415
      535.00     2.60339E-01  X380
      536.00     2.59890E-01  X116
      537.00     2.59836E-01  X869
      538.00     2.59331E-01  X749
      539.00     2.59301E-01  X177
      540.00     2.59290E-01  X374
      541.00     2.59129E-01  X269
      542.00     2.59009E-01  X399
      543.00     2.59006E-01  X124
      544.00     2.58254E-01  X850
      545.00     2.58253E-01  X329
      546.00     2.57638E-01  X970
      547.00     2.57335E-01  X828
      548.00     2.56909E-01  X102
      549.00     2.56236E-01  X490
      550.00     2.55673E-01  X338
      551.00     2.55039E-01  X398
      552.00     2.54870E-01  X571
      553.00     2.54693E-01  X360
      554.00     2.54601E-01  X830
      555.00     2.51926E-01  X507
      556.00     2.51369E-01  X315
      557.00     2.51267E-01  X807
      558.00     2.50214E-01  X778
      559.00     2.49191E-01  X579
      560.00     2.48168E-01  X145
      561.00     2.47013E-01  X100
      562.00     2.46265E-01  X348
      563.00     2.46067E-01  X986
      564.00     2.45952E-01  X462
      565.00     2.45831E-01  X730
      566.00     2.44682E-01  X501
      567.00     2.44540E-01  X196
      568.00     2.43970E-01  X795
      569.00     2.43792E-01  X9
      570.00     2.43465E-01  X480
      571.00     2.42100E-01  X274
      572.00     2.40526E-01  X419
      573.00     2.40441E-01  X273
      574.00     2.40408E-01  X408
      575.00     2.40184E-01  X673
      576.00     2.39641E-01  X524
      577.00     2.38229E-01  X351
      578.00     2.38098E-01  X442
      579.00     2.37930E-01  X747
      580.00     2.37080E-01  X202
      581.00     2.35426E-01  X993
      582.00     2.35342E-01  X434
      583.00     2.35328E-01  X311
      584.00     2.34888E-01  X379
      585.00     2.33972E-01  X246
      586.00     2.33674E-01  X714
      587.00     2.33515E-01  X440
      588.00     2.33508E-01  X370
      589.00     2.33121E-01  pelvic_slope
      590.00     2.32588E-01  X645
      591.00     2.32435E-01  X812
      592.00     2.31381E-01  X227
      593.00     2.31271E-01  X461
      594.00     2.31131E-01  X655
      595.00     2.30818E-01  X567
      596.00     2.30447E-01  X535
      597.00     2.29973E-01  X182
      598.00     2.29749E-01  X751
      599.00     2.29199E-01  X426
      600.00     2.28059E-01  X543
      601.00     2.28043E-01  X84
      602.00     2.27789E-01  X799
      603.00     2.27615E-01  X54
      604.00     2.27542E-01  X328
      605.00     2.27392E-01  X904
      606.00     2.27145E-01  X508
      607.00     2.26766E-01  X412
      608.00     2.26331E-01  X42
      609.00     2.26273E-01  X806
      610.00     2.26181E-01  X648
      611.00     2.26060E-01  X615
      612.00     2.24570E-01  X777
      613.00     2.24283E-01  X979
      614.00     2.24254E-01  X963
      615.00     2.23999E-01  X974
      616.00     2.23098E-01  X403
      617.00     2.22936E-01  X918
      618.00     2.22832E-01  X545
      619.00     2.22690E-01  X83
